Date,Total downloads,Revenue,Organic downloads,% organic downloads vs. total,Average revenue per download,Ad spend,CPM,CTR,Paid downloads,CPI,ARPD (on paid downloads),APPD (on paid downloads),Daily Net Profit,Is Profit Day
2014-08-01,5,0.36,5,1.0,0.072,0.0,,,0.0,,,,0.36,0.0
2014-08-02,8,0.73,8,1.0,0.09125,0.0,,,0.0,,,,0.73,0.0
2014-08-03,4,0.28,4,1.0,0.07,0.0,,,0.0,,,,0.28,0.0
2014-08-04,4,0.34,4,1.0,0.085,0.0,,,0.0,,,,0.34,0.0
2014-08-05,9,0.77,9,1.0,0.08555555556,0.0,,,0.0,,,,0.77,0.0
2014-08-06,6,0.48,6,1.0,0.08,0.0,,,0.0,,,,0.48,0.0
2014-08-07,9,0.74,9,1.0,0.08222222222,0.0,,,0.0,,,,0.74,0.0
2014-08-08,3,0.26,3,1.0,0.08666666667,0.0,,,0.0,,,,0.26,0.0
2014-08-09,4,0.28,4,1.0,0.07,0.0,,,0.0,,,,0.28,0.0
2014-08-10,15,1.4,15,1.0,0.09333333333,0.0,,,0.0,,,,1.4,0.0
2014-08-11,8,0.74,8,1.0,0.0925,0.0,,,0.0,,,,0.74,0.0
2014-08-12,24,1.78,24,1.0,0.07416666667,0.0,,,0.0,,,,1.78,0.0
2014-08-13,20,1.88,20,1.0,0.094,0.0,,,0.0,,,,1.88,0.0
2014-08-14,24,2.3,24,1.0,0.09583333333,0.0,,,0.0,,,,2.3,0.0
2014-08-15,14,0.98,14,1.0,0.07,0.0,,,0.0,,,,0.98,0.0
2014-08-16,16,1.46,16,1.0,0.09125,0.0,,,0.0,,,,1.46,0.0
2014-08-17,15,1.23,15,1.0,0.082,0.0,,,0.0,,,,1.23,0.0
2014-08-18,22,1.58,22,1.0,0.07181818182,0.0,,,0.0,,,,1.58,0.0
2014-08-19,11,1.0,11,1.0,0.09090909091,0.0,,,0.0,,,,1.0,0.0
2014-08-20,8,0.72,8,1.0,0.09,0.0,,,0.0,,,,0.72,0.0
